Year,BILLETS_COMMERCIAL,BILLETS_SBQ,SLABS_STANDARD,BILLETS_DEGASSED,SLABS_DEGASSED,STRUCTURAL_BEAMS,REBAR,STRUCTURAL_COLUMNS,STRUCTURAL_CHANNELS,RAILS_STANDARD,OTHER_LONG_PRODUCTS,HOT_ROLLED_COIL,COLD_ROLLED_COIL,PLATE,GALVANIZED,WELDED_STRUCTURAL,SEAMLESS_LINE_PIPE,WELDED_LINE_PIPE,OTHER_TUBE_PIPE
2037,978.691925325469,444.85996605703133,266.9159796342188,53.383195926843754,35.58879728456251,763.8459516058593,763.8459516058593,458.3075709635156,366.6460567708125,183.32302838540625,519.4152470919844,617.67463654875,386.0466478429687,308.837318274375,231.6279887057812,214.64378076796876,178.86981730664064,143.09585384531252,178.86981730664064
2038,978.691925325469,444.85996605703133,266.9159796342188,53.383195926843754,35.58879728456251,763.8459516058593,763.8459516058593,458.3075709635156,366.6460567708125,183.32302838540625,519.4152470919844,617.67463654875,386.0466478429687,308.837318274375,231.6279887057812,214.64378076796876,178.86981730664064,143.09585384531252,178.86981730664064
2039,978.691925325469,444.85996605703133,266.9159796342188,53.383195926843754,35.58879728456251,763.8459516058593,763.8459516058593,458.3075709635156,366.6460567708125,183.32302838540625,519.4152470919844,617.67463654875,386.0466478429687,308.837318274375,231.6279887057812,214.64378076796876,178.86981730664064,143.09585384531252,178.86981730664064
2040,978.691925325469,444.85996605703133,266.9159796342188,53.383195926843754,35.58879728456251,763.8459516058593,763.8459516058593,458.3075709635156,366.6460567708125,183.32302838540625,519.4152470919844,617.67463654875,386.0466478429687,308.837318274375,231.6279887057812,214.64378076796876,178.86981730664064,143.09585384531252,178.86981730664064
2041,963.0060089718752,437.73000407812503,262.638002446875,52.527600489375004,35.01840032625,763.8104791582031,763.8104791582031,458.28628749492185,366.62902999593746,183.31451499796873,519.3911258275781,631.551458071875,394.7196612949219,315.7757290359375,236.83179677695313,212.83468593749996,177.36223828124997,141.889790625,177.36223828124997
2042,963.0060089718752,437.73000407812503,262.638002446875,52.527600489375004,35.01840032625,763.8104791582031,763.8104791582031,458.28628749492185,366.62902999593746,183.31451499796873,519.3911258275781,631.551458071875,394.7196612949219,315.7757290359375,236.83179677695313,212.83468593749996,177.36223828124997,141.889790625,177.36223828124997
2043,963.0060089718752,437.73000407812503,262.638002446875,52.527600489375004,35.01840032625,763.8104791582031,763.8104791582031,458.28628749492185,366.62902999593746,183.31451499796873,519.3911258275781,631.551458071875,394.7196612949219,315.7757290359375,236.83179677695313,212.83468593749996,177.36223828124997,141.889790625,177.36223828124997
2044,963.4519148718753,437.93268857812507,262.75961314687504,52.55192262937501,35.03461508625001,764.1641504707032,764.1641504707032,458.4984902824219,366.7987922259375,183.39939611296876,519.6316223200782,631.8438887718751,394.9024304824219,315.92194438593754,236.94145828945312,212.93323593750006,177.44436328125005,141.95549062500004,177.44436328125005
2045,963.4519148718753,437.93268857812507,262.75961314687504,52.55192262937501,35.03461508625001,764.1641504707032,764.1641504707032,458.4984902824219,366.7987922259375,183.39939611296876,519.6316223200782,631.8438887718751,394.9024304824219,315.92194438593754,236.94145828945312,212.93323593750006,177.44436328125005,141.95549062500004,177.44436328125005
2046,963.4519148718753,437.93268857812507,262.75961314687504,52.55192262937501,35.03461508625001,764.1641504707032,764.1641504707032,458.4984902824219,366.7987922259375,183.39939611296876,519.6316223200782,631.8438887718751,394.9024304824219,315.92194438593754,236.94145828945312,212.93323593750006,177.44436328125005,141.95549062500004,177.44436328125005
2047,963.4519148718753,437.93268857812507,262.75961314687504,52.55192262937501,35.03461508625001,764.1641504707032,764.1641504707032,458.4984902824219,366.7987922259375,183.39939611296876,519.6316223200782,631.8438887718751,394.9024304824219,315.92194438593754,236.94145828945312,212.93323593750006,177.44436328125005,141.95549062500004,177.44436328125005
2048,963.4519148718753,437.93268857812507,262.75961314687504,52.55192262937501,35.03461508625001,764.1641504707032,764.1641504707032,458.4984902824219,366.7987922259375,183.39939611296876,519.6316223200782,631.8438887718751,394.9024304824219,315.92194438593754,236.94145828945312,212.93323593750006,177.44436328125005,141.95549062500004,177.44436328125005
2049,963.4519148718753,437.93268857812507,262.75961314687504,52.55192262937501,35.03461508625001,764.1641504707032,764.1641504707032,458.4984902824219,366.7987922259375,183.39939611296876,519.6316223200782,631.8438887718751,394.9024304824219,315.92194438593754,236.94145828945312,212.93323593750006,177.44436328125005,141.95549062500004,177.44436328125005
2050,963.4519148718753,437.93268857812507,262.75961314687504,52.55192262937501,35.03461508625001,764.1641504707032,764.1641504707032,458.4984902824219,366.7987922259375,183.39939611296876,519.6316223200782,631.8438887718751,394.9024304824219,315.92194438593754,236.94145828945312,212.93323593750006,177.44436328125005,141.95549062500004,177.44436328125005
